CA-48,Dana Rohrabacher,@DanaRohrabacher,,,@DanaRohrabacher
,,,,,
CA-48,John Campbell,@RepJohnCampbell,,,@RepJohnCampbell
,,,,,
CA-49,Darrell Issa,@DarrellIssa,,,@DarrellIssa
,,,,,
CA-50,Duncan D. Hunter,,,,
,,,,,
CA-51,Juan Vargas,,,,
,,,,,
CA-52,Scott Peters,@ScottPetersSD,,,@ScottPetersSD
,,,,,
CA-53,Susan Davis,,"no twitter, i don't think",,
,,,,,
CO-01,Diana DeGette,@RepDianaDeGette,,,@RepDianaDeGette
,,,,,
CO-02,Jared Polis,@jaredpolis,,,@jaredpolis
,,,,,
CO-03,Scott Tipton,@RepTipton,,,@RepTipton
,,,,,
CO-04,Cory Gardner,@repcorygardner,,,@repcorygardner
,,,,,
CO-05,Doug Lamborn,@RepDLamborn,,,@RepDLamborn
,,,,,
CO-06,Mike Coffman,@RepMikeCoffman,,,@RepMikeCoffman
,,,,,
CO-07,Ed Perlmutter,@RepPerlmutter,,,@RepPerlmutter
,,,,,
CT-01,John Larson,@RepJohnLarson,,,@RepJohnLarson
,,,,,
CT-02,Joe Courtney,@RepJoeCourtney,,,@RepJoeCourtney
,,,,,
CT-03,Rosa DeLauro,@rosadelauro,,,@rosadelauro
,,,,,
CT-04,Jim Himes,@jahimes,,,@jahimes
,,,,,
CT-05,Elizabeth Esty,@RepEsty,,,@RepEsty
,,,,,
DE,John Carney,@johncarneyde,,,@johncarneyde
,,,,,
FL-01,Jeff Miller,,,,
,,,,,
FL-02,Steve Southerland,@Rep_Southerland,,,@Rep_Southerland
,,,,,
FL-03,Ted Yoho,@TedYoho,,,@TedYoho
,,,,,
FL-04,Ander Crenshaw,@AnderCrenshaw,,,@AnderCrenshaw
,,,,,
FL-05,Corrine Brown,@RepCorrineBrown,,,@RepCorrineBrown
,,,,,
FL-06,Ron DeSantis,@RonDeSantisFL,,,@RonDeSantisFL
,,,,,
FL-07,John Mica,,,,
,,,,,
FL-08,Bill Posey,@congbillposey,,,@congbillposey
,,,,,
FL-09,Alan Grayson,@AlanGrayson,,,@AlanGrayson
,,,,,
FL-10,Daniel Webster,@RepWebster,,,@RepWebster
,,,,,
FL-11,Rich Nugent,@RepRichNugent,,,@RepRichNugent
,,,,,
FL-12,Gus Bilirakis,@RepGusBilirakis,,,@RepGusBilirakis
,,,,,
FL-13,Bill Young,,,,
,,,,,
FL-14,Kathy Castor,,,,
,,,,,
FL-15,Dennis Ross,@RepDennisRoss,,,@RepDennisRoss
,,,,,
FL-16,Vern Buchanan,@VernBuchanan,,,@VernBuchanan
,,,,,
FL-17,Tom Rooney,@TomRooney,,,@TomRooney
,,,,,
FL-18,Patrick Murphy,@PatrickMurphyFL,,,@PatrickMurphyFL
,,,,,
FL-19,Trey Radel,@treyradel,,,@treyradel
,,,,,
FL-20,Alcee Hastings,,,,
,,,,,
FL-21,Ted Deutch,@RepTedDeutch,,,@RepTedDeutch
,,,,,
FL-22,Lois Frankel,@RepLoisFrankel,,,@RepLoisFrankel
,,,,,
FL-23,Debbie Wasserman Schultz,@DWStweets,,,@DWStweets
,,,,,
FL-24,Frederica Wilson,@RepWilson,,,@RepWilson
,,,,,
FL-25,Mario Diaz-Balart,@MarioDB,,,@MarioDB
,,,,,
FL-26,Joe Garcia,@JoeGarcia,,,@JoeGarcia
,,,,,
FL-27,Ileana Ros-Lehtinen,@RosLehtinen,,,@RosLehtinen
,,,,,
GA-01,Jack Kingston,@JackKingston,,,@JackKingston
,,,,,
GA-02,Sanford Bishop,@SanfordBishop,,,@SanfordBishop
,,,,,
GA-03,Lynn Westmoreland,@RepWestmoreland,,,@RepWestmoreland
,,,,,
GA-04,Hank Johnson,@RepHankJohnson,,,@RepHankJohnson
,,,,,
GA-05,John Lewis,@repjohnlewis,,,@repjohnlewis
,,,,,
GA-06,Tom Price,@RepTomPrice,,,@RepTomPrice
,,,,,
GA-07,Rob Woodall,,,,
,,,,,
GA-08,Austin Scott,@AustinScottGA08,,,@AustinScottGA08
,,,,,
GA-09,Doug Collins,@RepDougCollins,,,@RepDougCollins
,,,,,
GA-10,Paul Broun,@RepPaulBrounMD,,,@RepPaulBrounMD
,,,,,
GA-11,Phil Gingrey,@RepPhilGingrey,,,@RepPhilGingrey
,,,,,
GA-12,John Barrow,@repjohnbarrow,,,@repjohnbarrow
,,,,,
GA-13,David Scott,@repdavidscott,,,@repdavidscott
,,,,,
GA-14,Tom Graves,@RepTomGraves,,,@RepTomGraves
,,,,,
HI-01,Colleen Hanabusa,@RepHanabusa,,,@RepHanabusa
,,,,,
HI-02,Tulsi Gabbard,@TulsiGabbard,,,@TulsiGabbard
,,,,,
IA-01,Bruce Braley,@BruceBraley,,,@BruceBraley
,,,,,
IA-02,Dave Loebsack,,@daveloebsack hasn't tweeted yet?,,@daveloebsack
,,,,,
IA-04,Tom Latham,@TomLatham,,,@TomLatham
,,,,,
IA-04,Steve King,@SteveKingIA,,,@SteveKingIA
,,,,,
ID-01,Raúl Labrador,@Raul_Labrador,,,@Raul_Labrador
,,,,,
ID-02,Mike Simpson,@CongMikeSimpson,,,@CongMikeSimpson
,,,,,
IL-01,Bobby Rush,@RepBobbyRush,,,@RepBobbyRush
,,,,,
IL-03,Dan Lipinski,,,,
,,,,,
IL-04,Luis Gutiérrez,@LuisGutierrez,,,@LuisGutierrez
,,,,,
IL-05,Michael Quigley,@RepMikeQuigley,,,@RepMikeQuigley
,,,,,
IL-06,Peter Roskam,@PeterRoskam,,,@PeterRoskam
,,,,,
IL-07,Danny Davis,,,,
,,,,,
IL-08,Tammy Duckworth,,"lots, no official one...",,
,,,,,
IL-09,Jan Schakowsky,@janschakowsky,,,@janschakowsky
,,,,,
IL-10,Brad Schneider,,@Schneider4IL10,,@Schneider4IL10
,,,,,
IL-11,Bill Foster,@RepBillFoster,@Foster4Congress,,@RepBillFoster
,,,,,
IL-12,William Enyart,,@EnyartforIL12,,@EnyartforIL12
,,,,,
IL-13,Rodney Davis,@ElectRodneyIL,,,@ElectRodneyIL
,,,,,
IL-14,Randy Hultgren,@RepHultgren,,,@RepHultgren
,,,,,
IL-15,John Shimkus,@RepShimkus,,,@RepShimkus
,,,,,
IL-16,Adam Kinzinger,@RepKinzinger,,,@RepKinzinger
,,,,,
IL-17,Cheri Bustos,@RepCheri,,,@RepCheri
,,,,,
IL-18,Aaron Schock,@repaaronschock,,,@repaaronschock
,,,,,
IN-01,Pete Visclosky,@RepVisclosky,,,@RepVisclosky
,,,,,
IN-02,Jackie Walorski,@jackiewalorski,,,@jackiewalorski
,,,,,
IN-03,Marlin Stutzman,@RepStutzman,,,@RepStutzman
,,,,,
IN-04,Todd Rokita,@ToddRokita,,,@ToddRokita
,,,,,
IN-05,Susan Brooks,@SusanBrooks2012,,,@SusanBrooks2012
,,,,,
IN-06,Luke Messer,@Luke_Messer,,,@Luke_Messer
,,,,,
IN-07,André Carson,@RepAndreCarson,,,@RepAndreCarson
,,,,,
IN-08,Larry Bucshon,@RepLarryBucshon,,,@RepLarryBucshon
,,,,,
IN-09,Todd Young,@RepToddYoung,,,@RepToddYoung
,,,,,
KS-01,Tim Huelskamp,@CongHuelskamp,,,@CongHuelskamp
,,,,,
KS-02,Lynn Jenkins,@RepLynnJenkins,,,@RepLynnJenkins
,,,,,
KS-03,Kevin Yoder,@RepKevinYoder,,,@RepKevinYoder
,,,,,
KS-04,Mike Pompeo,@RepMikePompeo,,,@RepMikePompeo
,,,,,
KY-01,Ed Whitfield,@RepEdWhitfield,,,@RepEdWhitfield
,,,,,
KY-02,Brett Guthrie,@RepGuthrie,,,@RepGuthrie
,,,,,
KY-03,John Yarmuth,@RepJohnYarmuth,,,@RepJohnYarmuth
,,,,,
KY-04,Thomas Massie,@RepThomasMassie,,,@RepThomasMassie
,,,,,
KY-05,Hal Rogers,@RepHalRogers,,,@RepHalRogers
,,,,,
KY-06,Andy Barr,,@barrforcongress,,@barrforcongress
,,,,,
LA-01,Steve Scalise,,,,
,,,,,
LA-02,Cedric Richmond,@RepRichmond,,,@RepRichmond
,,,,,
LA-04,John C. Fleming,@RepFleming,,,@RepFleming
,,,,,
LA-05,Rodney Alexander,@USRepAlexander,,,@USRepAlexander
,,,,,
LA-06,Bill Cassidy,@BillCassidy,,,@BillCassidy
,,,,,
LA-07,Charles Boustany,@RepBoustany,,,@RepBoustany
,,,,,
MA-01,Richard Neal,@RepRichardNeal,,,@RepRichardNeal
,,,,,
MA-02,Jim McGovern,@RepMcGovern,,,@RepMcGovern
,,,,,
MA-04,Joseph Kennedy III,@RepJoeKennedy,,,@RepJoeKennedy
,,,,,
MA-05,Ed Markey,@MarkeyMemo,,,@MarkeyMemo
,,,,,
MA-03,Niki Tsongas,@nikiinthehouse,,,@nikiinthehouse
,,,,,
MA-06,John Tierney,@RepTierney,,,@RepTierney
